time,triggeredvoltage_ch1,voltage_ch2,voltage_ch3,voltage_ch4
0.0004996,-1.48,1.0,0.0,0.0
0.00049968,-1.48,1.0,0.0,0.0
0.00049976,-1.48,1.0,0.0,0.0
0.00049984,-1.48,1.0,-0.04,-0.04
0.00049992,-1.48,1.0,-0.04,0.0
0.0005,-1.48,1.0,0.0,0.0
0.00050008,-1.48,1.0,0.0,0.0
0.00050016,-1.48,1.0,0.0,0.0
0.00050024,-1.48,1.0,0.0,0.0
0.00050032,-1.48,1.0,-0.04,0.0
0.0005004,-1.48,1.0,-0.04,0.0
0.00050048,-1.48,1.0,0.0,0.0
0.00050056,-1.48,1.0,0.0,-0.04
0.00050064,-1.48,1.04,-0.04,0.0
0.00050072,-1.52,1.0,0.0,-0.04
0.0005008,-1.48,1.0,-0.04,-0.04
0.00050088,-1.48,1.0,-0.04,-0.04
0.00050096,-1.48,1.0,-0.04,0.0
0.00050104,-1.48,1.0,0.0,0.0
0.00050112,-1.48,1.0,-0.04,0.0
0.0005012,-1.48,1.0,0.0,0.0
0.00050128,-1.48,1.0,-0.04,0.0
0.00050136,-1.48,1.0,0.0,0.0
0.00050144,-1.48,1.0,-0.04,-0.04
0.00050152,-1.48,1.0,-0.04,0.0
0.0005016,-1.48,1.0,0.0,0.0
0.00050168,-1.48,1.0,-0.04,0.0
0.00050176,-1.48,1.04,-0.04,0.0
0.00050184,-1.48,1.0,0.0,0.0
0.00050192,-1.48,1.0,0.0,0.0
0.000502,-1.48,1.0,0.0,0.0
0.00050208,-1.48,1.0,-0.04,0.0
0.00050216,-1.48,1.0,0.0,-0.04
0.00050224,-1.48,1.0,-0.04,0.0
0.00050232,-1.48,1.0,0.0,0.0
0.0005024,-1.48,1.0,0.0,0.0
0.00050248,-1.48,1.0,0.0,0.0
0.00050256,-1.48,1.0,-0.04,0.0
0.00050264,-1.48,1.0,0.0,-0.04
0.00050272,-1.48,1.0,-0.04,0.0
0.0005028,-1.48,1.0,0.0,0.0
0.00050288,-1.48,1.04,-0.04,0.0
0.00050296,-1.48,1.0,0.0,0.0
0.00050304,-1.48,1.0,0.0,0.0
0.00050312,-1.48,1.04,0.0,0.0
0.0005032,-1.48,1.0,0.0,0.0
0.00050328,-1.48,1.0,0.0,0.0
0.00050336,-1.48,1.0,0.0,0.0
0.00050344,-1.48,1.0,0.0,0.0
0.00050352,-1.48,1.0,0.0,0.0
0.0005036,-1.48,1.0,0.0,0.0
0.00050368,-1.48,1.0,0.0,0.0
0.00050376,-1.48,1.0,0.0,-0.04
0.00050384,-1.48,1.0,0.0,0.0
0.00050392,-1.48,1.0,0.0,0.0
0.000504,-1.44,1.0,0.0,-0.04
0.00050408,-1.48,1.0,0.0,0.0
0.00050416,-1.48,1.0,0.0,0.0
0.00050424,-1.48,1.0,0.0,0.0
0.00050432,-1.48,1.0,0.0,0.0
0.0005044,-1.48,1.0,0.0,0.0
0.00050448,-1.48,1.0,0.0,0.0
0.00050456,-1.48,1.0,0.0,0.0
0.00050464,-1.48,1.0,0.0,-0.04
0.00050472,-1.48,1.0,0.0,0.0
0.0005048,-1.48,1.04,0.0,-0.04
0.00050488,-1.48,1.0,0.0,-0.04
0.00050496,-1.48,1.0,0.0,0.0
0.00050504,-1.48,1.0,0.0,0.0
0.00050512,-1.48,1.0,0.0,0.0
